States/Uts,population(2024),Rainfall,Region
Andaman and Nicobar Islands,404000,2794.2,East
Andhra Pradesh,53402000,1168.6,South
Arunachal Pradesh,1580000,2192.8,East
Assam,36159000,2227.9,East
Bihar,129205000,916.7,East
Chandigarh,1247000,,North
Chhattisgarh,30638000,1364.1,North
Dadra & Nagar Haveli and Daman & Diu,1387000,,West
Delhi,21884000,484.9,North
Goa,1585000,3993.8,West
Gujarat,72653000,1244.2,West
Haryana,30694000,,North
Himachal Pradesh,7518000,979,North
Jammu & Kashmir,13733000,873.1,North
Jharkhand,40129000,1183,East
Karnataka,68256000,4337.1,South
Kerala,35967000,2795.6,South
Lakshadweep,69000,2144.1,South
Madhya Pradesh,87954000,1297.4,North
Maharashtra,127684000,1172.4,West
Manipur,3260000,,East
Meghalaya,3387000,,East
Mizoram,1252000,,East
Nagaland,2258000,,East
Odisha,46663000,1372.9,East
Puducherry,1695000,,South
Punjab,30992000,391.5,North
Rajasthan,82188000,959.7,West
Sikkim,697000,2568.5,East
Tamil Nadu,77165000,1174.7,South
Telangana,38317000,1113.5,South
Tripura,4194000,,East
Uttar Pradesh,238875000,791,North
Uttarakhand,11795000,1486.2,North
West Bengal,99723000,1668.2,East
